Destination,State,Terrain,Remoteness_1to5,Area_Risk_Level,Num_People,Time_of_Visit,Mode_of_Travel,Age,Gender,Purpose,Inside_Restricted_Zone,Weather,Connectivity,Distance_to_Safe_Zone_km,Distance_to_High_Risk_Zone_km,Risk_Score,Safety_Score
Majuli Island,Assam,Island,3,Medium,5,Night,Bus,36-45,Male,Pilgrimage,0,Rain,Moderate,5.46,0.84,0.627,High
Gangtok,Sikkim,City,1,Low,5,Day,Bus,36-45,Female,Night Stay,0,Clear,Good,1.11,1.74,0.16,Low
Kamakhya Temple,Assam,Temple,1,Low,1,Day,Cab,46+,Female,Pilgrimage,0,Fog,Good,0.75,0.74,0.261,Medium
Tripura Sundari Temple,Tripura,Temple,1,Low,5,Night,Bus,46+,Male,Night Stay,0,Rain,Good,0.59,1.5,0.438,Medium
Tripura Sundari Temple,Tripura,Temple,1,Low,1,Night,Trekking,18-25,Male,Trekking,0,Rain,Good,2.5,2.32,0.906,Extreme
Imphal,Manipur,City,1,Low,4,Day,Bus,36-45,Male,Night Stay,0,Clear,Good,1.16,2.48,0.191,Low
Kohima,Nagaland,City,1,Low,5,Night,Bus,46+,Female,Trekking,0,Clear,Good,2.35,2.59,0.381,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Night,Cab,18-25,Female,Night Stay,0,Clear,Good,2.64,1.71,0.378,Medium
Imphal,Manipur,City,1,Low,1,Day,Trekking,26-35,Male,Night Stay,0,Clear,Good,2.11,1.24,0.36,Medium
Majuli Island,Assam,Island,3,Medium,5,Night,Cab,26-35,Male,Sightseeing,0,Clear,Moderate,2.58,0.98,0.548,High
Aizawl,Mizoram,City,1,Low,3,Day,Bike,18-25,Female,Sightseeing,0,Clear,Good,0.89,2.98,0.273,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Bus,26-35,Male,Pilgrimage,1,Rain,Poor,5.15,0.96,0.932,Extreme
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Night,Cab,46+,Male,Pilgrimage,0,Rain,Good,2.27,2.95,0.441,Medium
Imphal,Manipur,City,1,Low,4,Day,Cab,36-45,Male,Night Stay,0,Rain,Good,2.57,2.26,0.289,Medium
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Cab,46+,Female,Sightseeing,0,Fog,Good,2.11,1.89,0.188,Low
Manas National Park,Assam,Wildlife,4,High,5,Day,Cab,46+,Female,Pilgrimage,1,Rain,Poor,8.14,1.01,0.94,Extreme
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,18-25,Female,Sightseeing,0,Clear,Good,0.57,1.99,0.143,Low
Shillong,Meghalaya,Hill City,2,Low,3,Day,Cab,46+,Male,Pilgrimage,0,Clear,Good,2.5,1.77,0.221,Low
Kohima,Nagaland,City,1,Low,5,Night,Bus,18-25,Male,Night Stay,0,Clear,Good,1.53,0.9,0.366,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Bus,26-35,Male,Pilgrimage,0,Rain,Moderate,4.8,1.78,0.437,Medium
Sandakphu,West Bengal,Trek Peak,4,High,2,Day,Bike,26-35,Female,Trekking,0,Clear,Poor,8.5,0.36,0.845,Extreme
Majuli Island,Assam,Island,3,Medium,4,Day,Cab,36-45,Female,Sightseeing,0,Clear,Moderate,2.24,1.06,0.4,Medium
Kaziranga National Park,Assam,Wildlife,4,High,3,Day,Trekking,18-25,Female,Pilgrimage,0,Clear,Poor,5.49,0.34,0.791,Extreme
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Cab,36-45,Male,Trekking,0,Clear,Good,2.7,0.94,0.216,Low
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Cab,18-25,Male,Night Stay,0,Clear,Poor,6.17,0.24,0.679,High
Kohima,Nagaland,City,1,Low,5,Day,Bus,46+,Female,Pilgrimage,0,Clear,Good,0.85,2.9,0.125,Low
Manas National Park,Assam,Wildlife,4,High,5,Night,Cab,36-45,Male,Pilgrimage,0,Clear,Poor,5.69,0.83,0.84,Extreme
Aizawl,Mizoram,City,1,Low,2,Night,Trekking,26-35,Female,Night Stay,0,Clear,Good,1.57,1.59,0.505,High
Kamakhya Temple,Assam,Temple,1,Low,3,Night,Trekking,36-45,Female,Pilgrimage,0,Clear,Good,2.25,1.82,0.497,Medium
Nathula Pass,Sikkim,High Pass,5,High,4,Day,Bus,26-35,Female,Sightseeing,1,Rain,Poor,11.75,0.17,0.995,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,2,Night,Bus,36-45,Male,Trekking,0,Clear,Moderate,2.29,0.67,0.644,High
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Bus,18-25,Female,Trekking,0,Clear,Poor,9.62,1.38,0.689,High
Aizawl,Mizoram,City,1,Low,1,Day,Trekking,26-35,Female,Pilgrimage,0,Clear,Good,2.7,1.56,0.344,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Day,Bus,26-35,Female,Pilgrimage,1,Clear,Poor,11.31,1.24,0.893,Extreme
Aizawl,Mizoram,City,1,Low,5,Day,Cab,18-25,Female,Trekking,0,Clear,Good,2.76,1.72,0.174,Low
Gangtok,Sikkim,City,1,Low,3,Night,Cab,46+,Female,Night Stay,0,Fog,Good,2.56,2.71,0.502,High
Sandakphu,West Bengal,Trek Peak,4,High,4,Day,Bus,26-35,Male,Sightseeing,0,Rain,Poor,6.29,1.17,0.723,High
Imphal,Manipur,City,1,Low,5,Day,Cab,46+,Male,Pilgrimage,0,Clear,Good,0.97,1.03,0.118,Low
Shillong,Meghalaya,Hill City,2,Low,4,Day,Cab,36-45,Female,Trekking,0,Clear,Good,0.88,1.23,0.204,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,36-45,Female,Sightseeing,0,Fog,Good,1.89,0.86,0.17,Low
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,46+,Male,Trekking,0,Clear,Moderate,4.74,0.21,0.378,Medium
Aizawl,Mizoram,City,1,Low,4,Day,Cab,18-25,Male,Sightseeing,0,Clear,Good,2.84,2.11,0.16,Low
Darjeeling,West Bengal,Hill Town,2,Low,4,Night,Bus,26-35,Female,Night Stay,0,Clear,Good,0.88,1.84,0.389,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Day,Cab,46+,Female,Trekking,1,Clear,Moderate,3.84,1.83,0.637,High
Aizawl,Mizoram,City,1,Low,5,Day,Bus,26-35,Female,Trekking,0,Clear,Good,1.61,1.47,0.146,Low
Aizawl,Mizoram,City,1,Low,3,Day,Bus,26-35,Male,Trekking,0,Clear,Good,2.32,2.46,0.215,Low
Tripura Sundari Temple,Tripura,Temple,1,Low,4,Day,Bus,36-45,Female,Trekking,0,Rain,Good,2.76,2.89,0.269,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Night,Bus,26-35,Female,Trekking,0,Clear,Good,0.56,1.02,0.36,Medium
Shillong,Meghalaya,Hill City,2,Low,4,Day,Cab,46+,Male,Trekking,0,Fog,Good,2.83,1.29,0.292,Medium
Manas National Park,Assam,Wildlife,4,High,1,Night,Cab,18-25,Male,Sightseeing,1,Clear,Poor,5.63,1.4,1,Extreme
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Night,Cab,36-45,Male,Night Stay,0,Clear,Good,1.35,0.94,0.408,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,2,Night,Bike,26-35,Male,Pilgrimage,0,Fog,Moderate,4.21,1.28,0.791,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,2,Day,Bike,18-25,Male,Pilgrimage,0,Clear,Poor,8.34,1.17,0.863,Extreme
Imphal,Manipur,City,1,Low,5,Night,Cab,46+,Male,Pilgrimage,0,Rain,Good,2.71,2.97,0.406,Medium
Shillong,Meghalaya,Hill City,2,Low,2,Night,Bus,36-45,Female,Trekking,0,Fog,Good,1.3,2.28,0.483,Medium
Sandakphu,West Bengal,Trek Peak,4,High,4,Day,Bus,18-25,Female,Trekking,0,Clear,Poor,11.33,0.13,0.705,High
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Bus,36-45,Female,Pilgrimage,0,Clear,Poor,9.6,1.02,0.659,High
Kaziranga National Park,Assam,Wildlife,4,High,3,Day,Trekking,18-25,Female,Pilgrimage,0,Clear,Poor,6.89,0.63,0.801,Extreme
Tripura Sundari Temple,Tripura,Temple,1,Low,5,Day,Bus,46+,Female,Trekking,0,Fog,Good,1.17,2.78,0.207,Low
Kohima,Nagaland,City,1,Low,5,Day,Bus,18-25,Male,Trekking,0,Rain,Good,0.89,2.5,0.254,Medium
Kaziranga National Park,Assam,Wildlife,4,High,3,Day,Bike,18-25,Female,Sightseeing,0,Clear,Poor,11.11,1.2,0.812,Extreme
Shillong,Meghalaya,Hill City,2,Low,2,Night,Cab,26-35,Male,Trekking,0,Rain,Good,2.21,1.03,0.527,High
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,46+,Male,Pilgrimage,0,Clear,Good,2.66,0.65,0.11,Low
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Bus,26-35,Female,Trekking,1,Rain,Moderate,5.05,0.63,0.692,High
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Night,Bus,26-35,Female,Night Stay,0,Clear,Poor,10.77,1.13,0.941,Extreme
Gangtok,Sikkim,City,1,Low,2,Day,Cab,36-45,Male,Sightseeing,0,Rain,Good,2.54,0.7,0.258,Medium
Kaziranga National Park,Assam,Wildlife,4,High,5,Night,Cab,18-25,Female,Night Stay,0,Clear,Poor,10.09,0.55,0.928,Extreme
Imphal,Manipur,City,1,Low,3,Night,Cab,46+,Female,Pilgrimage,0,Clear,Good,0.61,1.38,0.365,Medium
Aizawl,Mizoram,City,1,Low,3,Day,Cab,46+,Female,Pilgrimage,0,Clear,Good,2.68,2.47,0.203,Low
Shillong,Meghalaya,Hill City,2,Low,4,Day,Cab,46+,Female,Sightseeing,0,Clear,Good,2.87,1.04,0.174,Low
Gangtok,Sikkim,City,1,Low,4,Day,Cab,36-45,Male,Sightseeing,0,Clear,Good,1.19,0.97,0.136,Low
Tripura Sundari Temple,Tripura,Temple,1,Low,4,Day,Cab,26-35,Female,Sightseeing,0,Clear,Good,2.02,0.85,0.138,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,46+,Female,Sightseeing,0,Clear,Good,2.05,2.03,0.142,Low
Kohima,Nagaland,City,1,Low,4,Night,Bus,36-45,Male,Night Stay,0,Clear,Good,1.12,2.86,0.401,Medium
Kohima,Nagaland,City,1,Low,5,Night,Bus,46+,Female,Night Stay,0,Fog,Good,1.3,2.08,0.406,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Cab,26-35,Female,Pilgrimage,1,Clear,Poor,6.04,0.55,0.874,Extreme
Gangtok,Sikkim,City,1,Low,5,Day,Bus,18-25,Female,Pilgrimage,0,Clear,Good,2.62,0.65,0.105,Low
Kohima,Nagaland,City,1,Low,5,Night,Bus,36-45,Female,Trekking,0,Rain,Good,2.71,1,0.421,Medium
Kamakhya Temple,Assam,Temple,1,Low,4,Day,Bus,36-45,Male,Trekking,0,Clear,Good,2.25,2.63,0.176,Low
Nathula Pass,Sikkim,High Pass,5,High,2,Day,Bike,18-25,Male,Pilgrimage,1,Clear,Poor,9.38,0.88,1,Extreme
Kamakhya Temple,Assam,Temple,1,Low,3,Night,Trekking,36-45,Female,Night Stay,0,Clear,Good,0.82,2.89,0.548,High
Sandakphu,West Bengal,Trek Peak,4,High,5,Night,Bus,36-45,Male,Night Stay,0,Clear,Poor,7.27,0.35,0.89,Extreme
Nathula Pass,Sikkim,High Pass,5,High,5,Day,Bus,36-45,Male,Sightseeing,0,Clear,Poor,5.98,0.24,0.661,High
Majuli Island,Assam,Island,3,Medium,2,Night,Cab,36-45,Female,Night Stay,0,Clear,Moderate,4.18,1.41,0.671,High
Shillong,Meghalaya,Hill City,2,Low,3,Day,Bike,18-25,Male,Pilgrimage,0,Clear,Good,0.64,2.21,0.311,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,3,Day,Cab,46+,Male,Sightseeing,0,Rain,Poor,8.5,0.55,0.825,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Bus,36-45,Female,Sightseeing,1,Clear,Poor,9.13,0.39,0.82,Extreme
Majuli Island,Assam,Island,3,Medium,3,Day,Trekking,36-45,Male,Pilgrimage,0,Rain,Moderate,3.5,1.09,0.609,High
Gangtok,Sikkim,City,1,Low,5,Night,Cab,36-45,Male,Night Stay,0,Clear,Good,1.61,2.92,0.398,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,4,Day,Cab,26-35,Male,Sightseeing,0,Clear,Good,2.4,2.34,0.193,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,2,Day,Trekking,36-45,Female,Pilgrimage,0,Rain,Good,0.56,0.53,0.383,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,4,Night,Cab,46+,Female,Night Stay,0,Rain,Good,1.7,1.99,0.515,High
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Cab,18-25,Male,Sightseeing,0,Clear,Poor,11.51,0.52,0.705,High
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Day,Trekking,18-25,Male,Night Stay,0,Clear,Moderate,2.3,1.16,0.574,High
Kamakhya Temple,Assam,Temple,1,Low,4,Night,Cab,36-45,Male,Night Stay,0,Fog,Good,0.8,2.09,0.467,Medium
Sandakphu,West Bengal,Trek Peak,4,High,2,Day,Trekking,26-35,Male,Sightseeing,1,Rain,Poor,9.92,0.77,1,Extreme
Majuli Island,Assam,Island,3,Medium,1,Day,Trekking,46+,Female,Sightseeing,0,Clear,Moderate,2.05,2.26,0.591,High
Gangtok,Sikkim,City,1,Low,5,Day,Bus,36-45,Female,Trekking,0,Clear,Good,1.09,1.62,0.158,Low
Tripura Sundari Temple,Tripura,Temple,1,Low,3,Day,Cab,46+,Male,Sightseeing,0,Fog,Good,1.86,1.43,0.243,Low
Shillong,Meghalaya,Hill City,2,Low,3,Day,Bike,36-45,Female,Pilgrimage,0,Clear,Good,2.42,0.87,0.316,Medium
Tripura Sundari Temple,Tripura,Temple,1,Low,5,Night,Bus,36-45,Female,Sightseeing,0,Rain,Good,1.67,2.38,0.379,Medium
Manas National Park,Assam,Wildlife,4,High,4,Night,Bus,36-45,Male,Night Stay,0,Clear,Poor,5.98,1.24,0.91,Extreme
Majuli Island,Assam,Island,3,Medium,4,Day,Bus,46+,Male,Sightseeing,0,Clear,Moderate,5.77,1.9,0.399,Medium
Sandakphu,West Bengal,Trek Peak,4,High,4,Night,Cab,18-25,Female,Night Stay,0,Clear,Poor,9.04,1.15,0.956,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Night,Cab,46+,Male,Trekking,0,Clear,Poor,8.47,1.38,0.938,Extreme
Aizawl,Mizoram,City,1,Low,5,Day,Bus,36-45,Male,Sightseeing,0,Clear,Good,1.02,2.57,0.093,Low
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Bus,18-25,Female,Night Stay,0,Clear,Good,1.44,1.26,0.197,Low
Manas National Park,Assam,Wildlife,4,High,3,Day,Bus,46+,Male,Pilgrimage,0,Clear,Poor,7.69,0.85,0.694,High
Imphal,Manipur,City,1,Low,1,Day,Cab,46+,Male,Pilgrimage,0,Rain,Good,1.86,0.71,0.305,Medium
Kamakhya Temple,Assam,Temple,1,Low,3,Night,Cab,46+,Female,Night Stay,0,Clear,Good,2.44,2.64,0.435,Medium
Kaziranga National Park,Assam,Wildlife,4,High,2,Day,Trekking,26-35,Male,Pilgrimage,0,Clear,Poor,7.72,1.39,0.794,Extreme
Kamakhya Temple,Assam,Temple,1,Low,3,Day,Cab,46+,Male,Pilgrimage,0,Rain,Good,0.77,0.89,0.231,Low
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Cab,26-35,Male,Pilgrimage,0,Clear,Poor,5.31,0.36,0.647,High
Sandakphu,West Bengal,Trek Peak,4,High,2,Day,Cab,26-35,Female,Sightseeing,0,Clear,Poor,7.57,1.08,0.71,High
Imphal,Manipur,City,1,Low,1,Day,Bike,18-25,Female,Pilgrimage,0,Clear,Good,0.72,2.69,0.329,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,3,Day,Bus,26-35,Male,Sightseeing,0,Clear,Poor,11.98,0.62,0.719,High
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Day,Cab,46+,Male,Sightseeing,0,Rain,Moderate,2.04,0.34,0.468,Medium
Gangtok,Sikkim,City,1,Low,3,Day,Trekking,18-25,Female,Trekking,0,Clear,Good,2.16,1.7,0.315,Medium
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,26-35,Male,Trekking,0,Rain,Moderate,4.26,0.77,0.493,Medium
Imphal,Manipur,City,1,Low,2,Day,Trekking,26-35,Female,Pilgrimage,0,Fog,Good,0.57,2.18,0.33,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Bus,26-35,Female,Pilgrimage,0,Clear,Poor,7.01,1.18,0.648,High
Majuli Island,Assam,Island,3,Medium,4,Day,Bus,18-25,Male,Sightseeing,0,Clear,Moderate,5.67,0.9,0.37,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Day,Bus,46+,Female,Pilgrimage,0,Rain,Poor,9.78,0.94,0.744,High
Kohima,Nagaland,City,1,Low,4,Night,Bus,18-25,Female,Night Stay,0,Clear,Good,2.84,2.69,0.38,Medium
Kohima,Nagaland,City,1,Low,5,Day,Bus,26-35,Male,Night Stay,0,Clear,Good,1.2,1.99,0.143,Low
Shillong,Meghalaya,Hill City,2,Low,5,Night,Bus,36-45,Male,Night Stay,0,Rain,Good,1.8,0.79,0.449,Medium
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Night,Bus,26-35,Female,Trekking,1,Clear,Poor,10.02,1.41,1,Extreme
Gangtok,Sikkim,City,1,Low,5,Day,Cab,18-25,Female,Sightseeing,1,Fog,Good,0.97,2.84,0.391,Medium
Gangtok,Sikkim,City,1,Low,2,Night,Bike,46+,Male,Night Stay,0,Clear,Good,1.69,1.47,0.51,High
Imphal,Manipur,City,1,Low,3,Day,Bus,18-25,Male,Sightseeing,0,Clear,Good,2.81,2.22,0.182,Low
Manas National Park,Assam,Wildlife,4,High,5,Night,Bus,18-25,Male,Night Stay,1,Rain,Poor,6.54,0.95,1,Extreme
Imphal,Manipur,City,1,Low,4,Day,Bus,26-35,Male,Sightseeing,0,Clear,Good,2.56,1.01,0.141,Low
Majuli Island,Assam,Island,3,Medium,2,Day,Bus,36-45,Female,Sightseeing,0,Fog,Moderate,4.44,2.25,0.466,Medium
Kaziranga National Park,Assam,Wildlife,4,High,5,Day,Bus,26-35,Female,Pilgrimage,1,Rain,Poor,5.7,0.21,0.898,Extreme
Aizawl,Mizoram,City,1,Low,3,Night,Cab,46+,Male,Night Stay,0,Clear,Good,1.36,0.55,0.408,Medium
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Cab,26-35,Female,Trekking,0,Clear,Good,2.47,1.02,0.199,Low
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Bus,36-45,Male,Pilgrimage,0,Clear,Poor,6.71,1.08,0.676,High
Aizawl,Mizoram,City,1,Low,1,Day,Trekking,36-45,Female,Pilgrimage,0,Clear,Good,1.59,1.37,0.338,Medium
Gangtok,Sikkim,City,1,Low,3,Day,Cab,46+,Male,Trekking,0,Clear,Good,0.99,0.59,0.193,Low
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Bus,18-25,Male,Sightseeing,0,Clear,Poor,6.79,0.31,0.654,High
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Day,Cab,26-35,Female,Night Stay,0,Rain,Moderate,4.29,2,0.576,High
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,36-45,Female,Pilgrimage,0,Clear,Moderate,4.85,0.35,0.38,Medium
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Cab,18-25,Female,Night Stay,0,Rain,Moderate,2.03,2.17,0.502,High
Kaziranga National Park,Assam,Wildlife,4,High,3,Day,Bike,18-25,Female,Trekking,1,Rain,Poor,9.26,0.61,1,Extreme
Darjeeling,West Bengal,Hill Town,2,Low,3,Day,Cab,26-35,Male,Trekking,0,Clear,Good,1.44,0.5,0.254,Medium
Aizawl,Mizoram,City,1,Low,5,Night,Cab,46+,Female,Night Stay,0,Clear,Good,1.13,2.84,0.398,Medium
Shillong,Meghalaya,Hill City,2,Low,5,Day,Bus,18-25,Male,Sightseeing,0,Clear,Good,1.53,1.44,0.125,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,18-25,Male,Pilgrimage,0,Rain,Good,2.4,0.85,0.206,Low
Shillong,Meghalaya,Hill City,2,Low,3,Day,Trekking,18-25,Male,Pilgrimage,0,Fog,Good,1.01,0.83,0.343,Medium
Shillong,Meghalaya,Hill City,2,Low,2,Night,Trekking,18-25,Female,Night Stay,0,Clear,Good,1.58,2,0.558,High
Sandakphu,West Bengal,Trek Peak,4,High,4,Day,Cab,18-25,Female,Sightseeing,1,Rain,Poor,11.94,0.3,0.963,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Cab,26-35,Female,Sightseeing,1,Rain,Poor,7.29,0.62,0.956,Extreme
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Cab,46+,Female,Sightseeing,0,Rain,Good,3,0.88,0.227,Low
Darjeeling,West Bengal,Hill Town,2,Low,5,Day,Cab,36-45,Male,Trekking,0,Clear,Good,1.05,0.61,0.177,Low
Tripura Sundari Temple,Tripura,Temple,1,Low,4,Day,Cab,26-35,Female,Trekking,0,Clear,Good,2.98,0.91,0.203,Low
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,26-35,Female,Trekking,0,Fog,Moderate,5.6,1.62,0.488,Medium
Gangtok,Sikkim,City,1,Low,5,Night,Bus,36-45,Female,Trekking,0,Clear,Good,2.52,2.45,0.38,Medium
Tripura Sundari Temple,Tripura,Temple,1,Low,5,Night,Cab,46+,Female,Night Stay,0,Rain,Good,0.63,1.98,0.443,Medium
Shillong,Meghalaya,Hill City,2,Low,4,Day,Bus,26-35,Male,Trekking,0,Clear,Good,1.41,2.36,0.204,Low
Majuli Island,Assam,Island,3,Medium,5,Day,Cab,26-35,Male,Pilgrimage,0,Clear,Moderate,2.23,1.13,0.359,Medium
Kaziranga National Park,Assam,Wildlife,4,High,3,Day,Bike,36-45,Female,Sightseeing,0,Clear,Poor,7.77,0.4,0.792,Extreme
Sela Pass,Arunachal Pradesh,High Pass,5,High,5,Day,Cab,26-35,Female,Trekking,1,Clear,Poor,5.58,1.13,0.926,Extreme
Majuli Island,Assam,Island,3,Medium,4,Day,Bus,26-35,Male,Sightseeing,0,Clear,Moderate,4.71,2.31,0.393,Medium
Majuli Island,Assam,Island,3,Medium,3,Day,Trekking,18-25,Male,Night Stay,0,Clear,Moderate,4.46,2.09,0.57,High
Aizawl,Mizoram,City,1,Low,5,Night,Bus,46+,Male,Night Stay,0,Clear,Good,1.21,0.66,0.333,Medium
Kamakhya Temple,Assam,Temple,1,Low,1,Night,Bike,46+,Male,Night Stay,0,Clear,Good,2.53,1.4,0.818,Extreme
Aizawl,Mizoram,City,1,Low,5,Night,Bus,46+,Male,Night Stay,0,Rain,Good,0.59,0.65,0.405,Medium
Darjeeling,West Bengal,Hill Town,2,Low,3,Day,Trekking,26-35,Male,Sightseeing,0,Clear,Good,2.3,1.59,0.313,Medium
Nathula Pass,Sikkim,High Pass,5,High,4,Day,Bus,26-35,Female,Sightseeing,1,Clear,Poor,10.89,1.23,0.919,Extreme
Darjeeling,West Bengal,Hill Town,2,Low,2,Day,Bike,46+,Female,Pilgrimage,0,Clear,Good,1.29,2.79,0.322,Medium
Kaziranga National Park,Assam,Wildlife,4,High,2,Night,Trekking,26-35,Female,Pilgrimage,1,Clear,Poor,11.19,0.44,1,Extreme
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Cab,26-35,Female,Sightseeing,0,Clear,Good,1.43,0.51,0.155,Low
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Night,Cab,26-35,Male,Night Stay,0,Clear,Good,1.48,1.82,0.423,Medium
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Bus,46+,Male,Pilgrimage,0,Clear,Good,1.64,1.21,0.134,Low
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,46+,Female,Pilgrimage,0,Clear,Moderate,4.36,1.23,0.36,Medium
Manas National Park,Assam,Wildlife,4,High,3,Day,Cab,26-35,Female,Pilgrimage,1,Clear,Poor,10.75,0.43,0.9,Extreme
Majuli Island,Assam,Island,3,Medium,4,Night,Cab,36-45,Female,Sightseeing,0,Clear,Moderate,3.22,1.58,0.611,High
Tawang Monastery,Arunachal Pradesh,Monastery,2,Low,5,Day,Cab,36-45,Male,Trekking,0,Clear,Good,2.14,0.54,0.189,Low
Sela Pass,Arunachal Pradesh,High Pass,5,High,2,Day,Cab,46+,Male,Sightseeing,0,Fog,Poor,9.7,0.68,0.793,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,3,Night,Cab,36-45,Male,Night Stay,1,Fog,Moderate,2.62,0.48,0.936,Extreme
Majuli Island,Assam,Island,3,Medium,5,Day,Bus,36-45,Male,Sightseeing,0,Clear,Moderate,4.14,1.37,0.359,Medium
Majuli Island,Assam,Island,3,Medium,3,Night,Trekking,36-45,Male,Night Stay,0,Fog,Moderate,5.64,1.63,0.855,Extreme
Majuli Island,Assam,Island,3,Medium,3,Night,Bus,26-35,Male,Night Stay,0,Clear,Moderate,5.7,1.65,0.679,High
Tripura Sundari Temple,Tripura,Temple,1,Low,3,Day,Trekking,18-25,Female,Trekking,0,Rain,Good,2.24,2.94,0.434,Medium
Sandakphu,West Bengal,Trek Peak,4,High,5,Day,Bus,46+,Female,Night Stay,0,Fog,Poor,5.03,0.6,0.749,High
Kohima,Nagaland,City,1,Low,5,Day,Cab,46+,Male,Night Stay,0,Clear,Good,1.9,0.79,0.167,Low
Kohima,Nagaland,City,1,Low,3,Night,Trekking,18-25,Male,Night Stay,1,Clear,Good,0.77,2.85,0.752,Extreme
Gangtok,Sikkim,City,1,Low,4,Night,Bus,46+,Male,Night Stay,0,Clear,Good,0.69,1.27,0.347,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Night,Cab,36-45,Male,Sightseeing,0,Clear,Poor,7.54,0.23,0.873,Extreme
Kamakhya Temple,Assam,Temple,1,Low,3,Day,Cab,26-35,Male,Sightseeing,0,Clear,Good,1.87,1.94,0.171,Low
Nathula Pass,Sikkim,High Pass,5,High,3,Night,Cab,18-25,Female,Sightseeing,1,Clear,Poor,10.19,0.29,1,Extreme
Kaziranga National Park,Assam,Wildlife,4,High,4,Day,Bus,18-25,Female,Sightseeing,1,Rain,Poor,9.14,0.89,0.928,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,4,Day,Bus,26-35,Male,Sightseeing,0,Clear,Moderate,5.29,1.77,0.38,Medium
Gangtok,Sikkim,City,1,Low,2,Day,Bike,26-35,Female,Trekking,0,Clear,Good,1.82,1.36,0.326,Medium
Nathula Pass,Sikkim,High Pass,5,High,5,Day,Cab,36-45,Male,Sightseeing,1,Rain,Poor,5.8,0.93,0.966,Extreme
Cherrapunji,Meghalaya,Plateau,3,Medium,5,Day,Bus,18-25,Male,Trekking,1,Fog,Moderate,2.29,1.11,0.644,High
Kamakhya Temple,Assam,Temple,1,Low,5,Day,Bus,18-25,Male,Sightseeing,0,Rain,Good,0.86,2.31,0.202,Low
